# SUMMARY (per locale x criterion)
locale,language,criterion,n_pairs,llm_mean,human_mean,bias_total,mae_total,llm_low,llm_mid,llm_high,hum_low,hum_mid,hum_high
ar_EG,Arabic,instruction_following,736,6.2989,5.8139,0.4851,0.8981,0.1114,0.0000,0.8886,0.1277,0.1386,0.7337
ar_EG,Arabic,naturalness,736,6.1101,3.1549,2.9552,3.1318,0.1019,0.0122,0.8859,0.5774,0.1943,0.2283
ar_EG,Arabic,coherence,736,6.3234,5.5910,0.7323,0.9851,0.1060,0.0082,0.8859,0.1454,0.2038,0.6508
bn_BD,Bengali,instruction_following,736,5.7120,4.1889,1.5231,2.0068,0.1698,0.1033,0.7269,0.2677,0.6114,0.1209
bn_BD,Bengali,naturalness,736,5.3791,3.6617,1.7174,1.9891,0.2609,0.0897,0.6495,0.4130,0.5054,0.0815
bn_BD,Bengali,coherence,736,5.5136,3.4185,2.0951,2.4701,0.2133,0.0992,0.6875,0.5082,0.4185,0.0734
cs_CZ,Czech,instruction_following,736,6.4144,5.8492,0.5652,0.9620,0.0598,0.0014,0.9389,0.0489,0.2541,0.6970
cs_CZ,Czech,naturalness,736,6.1929,5.3383,0.8546,1.1916,0.0666,0.0652,0.8682,0.1005,0.3859,0.5136
cs_CZ,Czech,coherence,736,6.3505,5.6848,0.6658,1.0571,0.0720,0.0503,0.8777,0.0707,0.3057,0.6236
de_DE,German,instruction_following,736,6.6005,6.3220,0.2785,0.7024,0.0204,0.0000,0.9796,0.0231,0.1685,0.8084
de_DE,German,naturalness,736,6.6141,6.0639,0.5503,0.8791,0.0190,0.0190,0.9620,0.0272,0.2582,0.7147
de_DE,German,coherence,736,6.5245,6.5774,-0.0530,0.5557,0.0272,0.0068,0.9660,0.0068,0.0815,0.9117
en_US,English,instruction_following,736,6.6970,6.4389,0.2582,0.6005,0.0000,0.0000,1.0000,0.0122,0.1101,0.8777
en_US,English,naturalness,736,6.9144,6.2310,0.6834,0.7785,0.0000,0.0014,0.9986,0.0068,0.2609,0.7323
en_US,English,coherence,736,6.7649,6.3560,0.4090,0.6644,0.0027,0.0000,0.9973,0.0109,0.1562,0.8329
hi_IN,Hindi,instruction_following,736,6.3302,5.8546,0.4755,1.0408,0.1114,0.0014,0.8872,0.0503,0.3668,0.5829
hi_IN,Hindi,naturalness,736,6.1250,5.6073,0.5177,1.0367,0.1182,0.0448,0.8370,0.0761,0.4212,0.5027
hi_IN,Hindi,coherence,736,6.1698,5.9538,0.2160,1.0177,0.1386,0.0122,0.8492,0.0408,0.3478,0.6114
id_ID,Indonesian,instruction_following,736,6.5978,6.1671,0.4307,0.7731,0.0557,0.0000,0.9443,0.0856,0.1603,0.7541
id_ID,Indonesian,naturalness,736,6.5245,5.8981,0.6264,0.9470,0.0367,0.0380,0.9253,0.0571,0.3030,0.6399
id_ID,Indonesian,coherence,736,6.6359,5.9918,0.6440,0.8967,0.0476,0.0041,0.9484,0.0584,0.2663,0.6753
ja_JP,Japanese,instruction_following,736,6.6399,5.6019,1.0380,1.2337,0.0258,0.0000,0.9742,0.1114,0.3288,0.5598
ja_JP,Japanese,naturalness,736,6.4226,5.6155,0.8071,1.2011,0.0530,0.0340,0.9130,0.1576,0.2188,0.6236
ja_JP,Japanese,coherence,736,6.4484,5.7310,0.7174,1.1141,0.0693,0.0014,0.9293,0.1332,0.2296,0.6372
ru_RU,Russian,instruction_following,736,6.6427,6.4851,0.1576,0.5870,0.0380,0.0000,0.9620,0.0408,0.1399,0.8193
ru_RU,Russian,naturalness,736,6.4579,5.8424,0.6155,0.8682,0.0489,0.0149,0.9361,0.0761,0.3111,0.6128
ru_RU,Russian,coherence,736,6.6168,6.4728,0.1440,0.5897,0.0340,0.0027,0.9633,0.0272,0.1495,0.8234
zh_CN,Chinese,instruction_following,736,6.6644,5.9783,0.6861,0.9851,0.0136,0.0000,0.9864,0.0978,0.2636,0.6386
zh_CN,Chinese,naturalness,736,6.6617,6.0625,0.5992,0.8736,0.0204,0.0136,0.9660,0.0367,0.3315,0.6318
zh_CN,Chinese,coherence,736,6.5951,6.1250,0.4701,0.9375,0.0299,0.0000,0.9701,0.0734,0.2541,0.6726

# LEVEL DETAIL (per locale x criterion x llm_level)
locale,language,criterion,llm_level,count,human_mean,cond_bias,recommendation
bn_BD,Bengali,coherence,7,393,3.9313,3.0687,↓  snížit  (LLM o +3.07 nad lidmi)
cs_CZ,Czech,instruction_following,1,4,1.5000,-0.5000,↑  zvýšit  (LLM o -0.50 pod lidmi)
cs_CZ,Czech,instruction_following,2,13,3.6154,-1.6154,↑  zvýšit  (LLM o -1.62 pod lidmi)
cs_CZ,Czech,instruction_following,3,27,5.2222,-2.2222,↑  zvýšit  (LLM o -2.22 pod lidmi)
cs_CZ,Czech,instruction_following,4,0,,,—  (LLM toto skóre nepoužilo)
cs_CZ,Czech,instruction_following,5,1,5.0000,0.0000,OK
cs_CZ,Czech,instruction_following,6,232,5.4052,0.5948,↓  snížit  (LLM o +0.59 nad lidmi)
cs_CZ,Czech,instruction_following,7,459,6.2135,0.7865,↓  snížit  (LLM o +0.79 nad lidmi)
cs_CZ,Czech,naturalness,1,4,2.0000,-1.0000,↑  zvýšit  (LLM o -1.00 pod lidmi)
cs_CZ,Czech,naturalness,2,20,3.2500,-1.2500,↑  zvýšit  (LLM o -1.25 pod lidmi)
cs_CZ,Czech,naturalness,3,25,3.7200,-0.7200,↑  zvýšit  (LLM o -0.72 pod lidmi)
cs_CZ,Czech,naturalness,4,48,3.8750,0.1250,OK
cs_CZ,Czech,naturalness,5,0,,,—  (LLM toto skóre nepoužilo)
cs_CZ,Czech,naturalness,6,226,5.1283,0.8717,↓  snížit  (LLM o +0.87 nad lidmi)
cs_CZ,Czech,naturalness,7,413,5.8547,1.1453,↓  snížit  (LLM o +1.15 nad lidmi)
cs_CZ,Czech,coherence,1,4,2.0000,-1.0000,↑  zvýšit  (LLM o -1.00 pod lidmi)
cs_CZ,Czech,coherence,2,29,3.8966,-1.8966,↑  zvýšit  (LLM o -1.90 pod lidmi)
cs_CZ,Czech,coherence,3,20,4.5000,-1.5000,↑  zvýšit  (LLM o -1.50 pod lidmi)
cs_CZ,Czech,coherence,4,0,,,—  (LLM toto skóre nepoužilo)
cs_CZ,Czech,coherence,5,37,4.8378,0.1622,OK
cs_CZ,Czech,coherence,6,155,5.2065,0.7935,↓  snížit  (LLM o +0.79 nad lidmi)
cs_CZ,Czech,coherence,7,491,6.0835,0.9165,↓  snížit  (LLM o +0.92 nad lidmi)
de_DE,German,instruction_following,1,2,1.0000,0.0000,OK
de_DE,German,instruction_following,2,6,2.8333,-0.8333,↑  zvýšit  (LLM o -0.83 pod lidmi)
de_DE,German,instruction_following,3,7,5.4286,-2.4286,↑  zvýšit  (LLM o -2.43 pod lidmi)
de_DE,German,instruction_following,4,0,,,—  (LLM toto skóre nepoužilo)
de_DE,German,instruction_following,5,0,,,—  (LLM toto skóre nepoužilo)
de_DE,German,instruction_following,6,224,6.1696,-0.1696,OK
de_DE,German,instruction_following,7,497,6.4668,0.5332,↓  snížit  (LLM o +0.53 nad lidmi)
de_DE,German,naturalness,1,1,2.0000,-1.0000,↑  zvýšit  (LLM o -1.00 pod lidmi)
de_DE,German,naturalness,2,0,,,—  (LLM toto skóre nepoužilo)
de_DE,German,naturalness,3,13,4.9231,-1.9231,↑  zvýšit  (LLM o -1.92 pod lidmi)
de_DE,German,naturalness,4,14,5.4286,-1.4286,↑  zvýšit  (LLM o -1.43 pod lidmi)
de_DE,German,naturalness,5,0,,,—  (LLM toto skóre nepoužilo)
de_DE,German,naturalness,6,184,5.6467,0.3533,↓  snížit  (LLM o +0.35 nad lidmi)
de_DE,German,naturalness,7,524,6.2634,0.7366,↓  snížit  (LLM o +0.74 nad lidmi)
de_DE,German,coherence,1,1,2.0000,-1.0000,↑  zvýšit  (LLM o -1.00 pod lidmi)
de_DE,German,coherence,2,10,4.8000,-2.8000,↑  zvýšit  (LLM o -2.80 pod lidmi)
de_DE,German,coherence,3,9,5.1111,-2.1111,↑  zvýšit  (LLM o -2.11 pod lidmi)
de_DE,German,coherence,4,4,6.0000,-2.0000,↑  zvýšit  (LLM o -2.00 pod lidmi)
de_DE,German,coherence,5,1,7.0000,-2.0000,↑  zvýšit  (LLM o -2.00 pod lidmi)
de_DE,German,coherence,6,244,6.5410,-0.5410,↑  zvýšit  (LLM o -0.54 pod lidmi)
de_DE,German,coherence,7,467,6.6767,0.3233,↓  snížit  (LLM o +0.32 nad lidmi)
en_US,English,instruction_following,1,0,,,—  (LLM toto skóre nepoužilo)
en_US,English,instruction_following,2,0,,,—  (LLM toto skóre nepoužilo)
en_US,English,instruction_following,3,0,,,—  (LLM toto skóre nepoužilo)
en_US,English,instruction_following,4,0,,,—  (LLM toto skóre nepoužilo)
en_US,English,instruction_following,5,0,,,—  (LLM toto skóre nepoužilo)
en_US,English,instruction_following,6,223,6.2377,-0.2377,OK
en_US,English,instruction_following,7,513,6.5263,0.4737,↓  snížit  (LLM o +0.47 nad lidmi)
en_US,English,naturalness,1,0,,,—  (LLM toto skóre nepoužilo)
en_US,English,naturalness,2,0,,,—  (LLM toto skóre nepoužilo)
en_US,English,naturalness,3,0,,,—  (LLM toto skóre nepoužilo)
en_US,English,naturalness,4,1,3.0000,1.0000,↓  snížit  (LLM o +1.00 nad lidmi)
en_US,English,naturalness,5,0,,,—  (LLM toto skóre nepoužilo)
en_US,English,naturalness,6,60,6.2500,-0.2500,OK
en_US,English,naturalness,7,675,6.2341,0.7659,↓  snížit  (LLM o +0.77 nad lidmi)
en_US,English,coherence,1,0,,,—  (LLM toto skóre nepoužilo)
en_US,English,coherence,2,0,,,—  (LLM toto skóre nepoužilo)
en_US,English,coherence,3,2,4.5000,-1.5000,↑  zvýšit  (LLM o -1.50 pod lidmi)
en_US,English,coherence,4,0,,,—  (LLM toto skóre nepoužilo)
en_US,English,coherence,5,0,,,—  (LLM toto skóre nepoužilo)
en_US,English,coherence,6,165,6.3576,-0.3576,↑  zvýšit  (LLM o -0.36 pod lidmi)
en_US,English,coherence,7,569,6.3620,0.6380,↓  snížit  (LLM o +0.64 nad lidmi)
hi_IN,Hindi,instruction_following,1,6,3.8333,-2.8333,↑  zvýšit  (LLM o -2.83 pod lidmi)
hi_IN,Hindi,instruction_following,2,8,2.1250,-0.1250,OK
hi_IN,Hindi,instruction_following,3,68,4.6765,-1.6765,↑  zvýšit  (LLM o -1.68 pod lidmi)
hi_IN,Hindi,instruction_following,4,0,,,—  (LLM toto skóre nepoužilo)
hi_IN,Hindi,instruction_following,5,1,3.0000,2.0000,↓  snížit  (LLM o +2.00 nad lidmi)
hi_IN,Hindi,instruction_following,6,143,5.6154,0.3846,↓  snížit  (LLM o +0.38 nad lidmi)
hi_IN,Hindi,instruction_following,7,510,6.1667,0.8333,↓  snížit  (LLM o +0.83 nad lidmi)
hi_IN,Hindi,naturalness,1,6,1.3333,-0.3333,↑  zvýšit  (LLM o -0.33 pod lidmi)
hi_IN,Hindi,naturalness,2,13,3.0000,-1.0000,↑  zvýšit  (LLM o -1.00 pod lidmi)
hi_IN,Hindi,naturalness,3,68,3.9706,-0.9706,↑  zvýšit  (LLM o -0.97 pod lidmi)
hi_IN,Hindi,naturalness,4,30,4.8667,-0.8667,↑  zvýšit  (LLM o -0.87 pod lidmi)
hi_IN,Hindi,naturalness,5,3,6.3333,-1.3333,↑  zvýšit  (LLM o -1.33 pod lidmi)
hi_IN,Hindi,naturalness,6,175,5.6000,0.4000,↓  snížit  (LLM o +0.40 nad lidmi)
hi_IN,Hindi,naturalness,7,441,6.0431,0.9569,↓  snížit  (LLM o +0.96 nad lidmi)
hi_IN,Hindi,coherence,1,11,2.4545,-1.4545,↑  zvýšit  (LLM o -1.45 pod lidmi)
hi_IN,Hindi,coherence,2,25,4.4800,-2.4800,↑  zvýšit  (LLM o -2.48 pod lidmi)
hi_IN,Hindi,coherence,3,66,5.0152,-2.0152,↑  zvýšit  (LLM o -2.02 pod lidmi)
hi_IN,Hindi,coherence,4,4,6.5000,-2.5000,↑  zvýšit  (LLM o -2.50 pod lidmi)
hi_IN,Hindi,coherence,5,5,5.8000,-0.8000,↑  zvýšit  (LLM o -0.80 pod lidmi)
hi_IN,Hindi,coherence,6,134,5.8284,0.1716,OK
hi_IN,Hindi,coherence,7,491,6.2648,0.7352,↓  snížit  (LLM o +0.74 nad lidmi)
id_ID,Indonesian,instruction_following,1,1,1.0000,0.0000,OK
id_ID,Indonesian,instruction_following,2,1,5.0000,-3.0000,↑  zvýšit  (LLM o -3.00 pod lidmi)
id_ID,Indonesian,instruction_following,3,39,4.4103,-1.4103,↑  zvýšit  (LLM o -1.41 pod lidmi)
id_ID,Indonesian,instruction_following,4,0,,,—  (LLM toto skóre nepoužilo)
id_ID,Indonesian,instruction_following,5,0,,,—  (LLM toto skóre nepoužilo)
id_ID,Indonesian,instruction_following,6,129,5.4341,0.5659,↓  snížit  (LLM o +0.57 nad lidmi)
id_ID,Indonesian,instruction_following,7,566,6.4664,0.5336,↓  snížit  (LLM o +0.53 nad lidmi)
id_ID,Indonesian,naturalness,1,5,2.8000,-1.8000,↑  zvýšit  (LLM o -1.80 pod lidmi)
id_ID,Indonesian,naturalness,2,3,3.6667,-1.6667,↑  zvýšit  (LLM o -1.67 pod lidmi)
id_ID,Indonesian,naturalness,3,19,4.2105,-1.2105,↑  zvýšit  (LLM o -1.21 pod lidmi)
id_ID,Indonesian,naturalness,4,28,5.1786,-1.1786,↑  zvýšit  (LLM o -1.18 pod lidmi)
id_ID,Indonesian,naturalness,5,0,,,—  (LLM toto skóre nepoužilo)
id_ID,Indonesian,naturalness,6,145,5.3241,0.6759,↓  snížit  (LLM o +0.68 nad lidmi)
id_ID,Indonesian,naturalness,7,536,6.1922,0.8078,↓  snížit  (LLM o +0.81 nad lidmi)
id_ID,Indonesian,coherence,1,0,,,—  (LLM toto skóre nepoužilo)
id_ID,Indonesian,coherence,2,0,,,—  (LLM toto skóre nepoužilo)
id_ID,Indonesian,coherence,3,35,4.4571,-1.4571,↑  zvýšit  (LLM o -1.46 pod lidmi)
id_ID,Indonesian,coherence,4,3,5.0000,-1.0000,↑  zvýšit  (LLM o -1.00 pod lidmi)
id_ID,Indonesian,coherence,5,0,,,—  (LLM toto skóre nepoužilo)
id_ID,Indonesian,coherence,6,119,5.3109,0.6891,↓  snížit  (LLM o +0.69 nad lidmi)
id_ID,Indonesian,coherence,7,579,6.2297,0.7703,↓  snížit  (LLM o +0.77 nad lidmi)
ja_JP,Japanese,instruction_following,1,0,,,—  (LLM toto skóre nepoužilo)
ja_JP,Japanese,instruction_following,2,0,,,—  (LLM toto skóre nepoužilo)
ja_JP,Japanese,instruction_following,3,19,3.4737,-0.4737,↑  zvýšit  (LLM o -0.47 pod lidmi)
ja_JP,Japanese,instruction_following,4,0,,,—  (LLM toto skóre nepoužilo)
ja_JP,Japanese,instruction_following,5,0,,,—  (LLM toto skóre nepoužilo)
ja_JP,Japanese,instruction_following,6,189,4.9153,1.0847,↓  snížit  (LLM o +1.08 nad lidmi)
ja_JP,Japanese,instruction_following,7,528,5.9242,1.0758,↓  snížit  (LLM o +1.08 nad lidmi)
ja_JP,Japanese,naturalness,1,0,,,—  (LLM toto skóre nepoužilo)
ja_JP,Japanese,naturalness,2,4,3.2500,-1.2500,↑  zvýšit  (LLM o -1.25 pod lidmi)
ja_JP,Japanese,naturalness,3,35,3.4857,-0.4857,↑  zvýšit  (LLM o -0.49 pod lidmi)
ja_JP,Japanese,naturalness,4,25,4.2800,-0.2800,OK
ja_JP,Japanese,naturalness,5,0,,,—  (LLM toto skóre nepoužilo)
ja_JP,Japanese,naturalness,6,190,5.1000,0.9000,↓  snížit  (LLM o +0.90 nad lidmi)
ja_JP,Japanese,naturalness,7,482,6.0622,0.9378,↓  snížit  (LLM o +0.94 nad lidmi)
ja_JP,Japanese,coherence,1,1,1.0000,0.0000,OK
ja_JP,Japanese,coherence,2,3,2.6667,-0.6667,↑  zvýšit  (LLM o -0.67 pod lidmi)
ja_JP,Japanese,coherence,3,47,3.7872,-0.7872,↑  zvýšit  (LLM o -0.79 pod lidmi)
ja_JP,Japanese,coherence,4,0,,,—  (LLM toto skóre nepoužilo)
ja_JP,Japanese,coherence,5,1,7.0000,-2.0000,↑  zvýšit  (LLM o -2.00 pod lidmi)
ja_JP,Japanese,coherence,6,195,5.2872,0.7128,↓  snížit  (LLM o +0.71 nad lidmi)
ja_JP,Japanese,coherence,7,489,6.1207,0.8793,↓  snížit  (LLM o +0.88 nad lidmi)
ru_RU,Russian,instruction_following,1,2,7.0000,-6.0000,↑  zvýšit  (LLM o -6.00 pod lidmi)
ru_RU,Russian,instruction_following,2,10,5.2000,-3.2000,↑  zvýšit  (LLM o -3.20 pod lidmi)
ru_RU,Russian,instruction_following,3,16,5.1250,-2.1250,↑  zvýšit  (LLM o -2.12 pod lidmi)
ru_RU,Russian,instruction_following,4,0,,,—  (LLM toto skóre nepoužilo)
ru_RU,Russian,instruction_following,5,0,,,—  (LLM toto skóre nepoužilo)
ru_RU,Russian,instruction_following,6,137,5.9051,0.0949,OK
ru_RU,Russian,instruction_following,7,571,6.6830,0.3170,↓  snížit  (LLM o +0.32 nad lidmi)
ru_RU,Russian,naturalness,1,10,1.2000,-0.2000,OK
ru_RU,Russian,naturalness,2,9,3.7778,-1.7778,↑  zvýšit  (LLM o -1.78 pod lidmi)
ru_RU,Russian,naturalness,3,17,3.5882,-0.5882,↑  zvýšit  (LLM o -0.59 pod lidmi)
ru_RU,Russian,naturalness,4,11,3.6364,0.3636,↓  snížit  (LLM o +0.36 nad lidmi)
ru_RU,Russian,naturalness,5,0,,,—  (LLM toto skóre nepoužilo)
ru_RU,Russian,naturalness,6,193,5.3472,0.6528,↓  snížit  (LLM o +0.65 nad lidmi)
ru_RU,Russian,naturalness,7,496,6.2923,0.7077,↓  snížit  (LLM o +0.71 nad lidmi)
ru_RU,Russian,coherence,1,1,6.0000,-5.0000,↑  zvýšit  (LLM o -5.00 pod lidmi)
ru_RU,Russian,coherence,2,10,5.0000,-3.0000,↑  zvýšit  (LLM o -3.00 pod lidmi)
ru_RU,Russian,coherence,3,14,4.4286,-1.4286,↑  zvýšit  (LLM o -1.43 pod lidmi)
ru_RU,Russian,coherence,4,0,,,—  (LLM toto skóre nepoužilo)
ru_RU,Russian,coherence,5,2,5.5000,-0.5000,↑  zvýšit  (LLM o -0.50 pod lidmi)
ru_RU,Russian,coherence,6,166,6.1205,-0.1205,OK
ru_RU,Russian,coherence,7,543,6.6648,0.3352,↓  snížit  (LLM o +0.34 nad lidmi)
zh_CN,Chinese,instruction_following,1,3,4.0000,-3.0000,↑  zvýšit  (LLM o -3.00 pod lidmi)
zh_CN,Chinese,instruction_following,2,0,,,—  (LLM toto skóre nepoužilo)
zh_CN,Chinese,instruction_following,3,7,3.7143,-0.7143,↑  zvýšit  (LLM o -0.71 pod lidmi)
zh_CN,Chinese,instruction_following,4,0,,,—  (LLM toto skóre nepoužilo)
zh_CN,Chinese,instruction_following,5,0,,,—  (LLM toto skóre nepoužilo)
zh_CN,Chinese,instruction_following,6,201,5.5323,0.4677,↓  snížit  (LLM o +0.47 nad lidmi)
